,Question,Equation,Combined,Answer
0,Each pack of dvds costs w dollars. If there is a discount of x dollars on each pack How much do you have to pay to buy each pack?,( w - x ),Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?,51
1,Dan had $ w left with him after he bought a candy bar. If he had $ x at the start How much did the candy bar cost?,( x - w ),Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?,1
2,Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. How many salty cookies did Paco have left?,( w - z ),Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,17
3,w children were riding on the bus. At the bus stop some children got off the bus. Then there were x children left on the bus. How many children got off the bus at the bus stop?,( w - x ),43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,22
4,w children were riding on the bus. At the bus stop x children got on the bus while some got off the bus. Then there were y children altogether on the bus. How many more children got on the bus than those that got off?,( y - w ),28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,2
5,There were w dollars in Olivia's wallet. She collected x more dollars from an atm. After she visited a supermarket there were x dollars left. How much more money did she collect at the atm than she spent at the supermarket?,( x - w ),There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,46
6,Jerry had some action figures on a shelf in his room. Later he added w more action figures to the shelf. If there are a total of x action figures on his shelf now How many action figures did he have initially on the shelf?,( x - w ),Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?,3
7,Paco had w cookies. He gave x cookies to his friend and ate y cookies. How many more cookies did he eat than those he gave to his friend?,( y - x ),Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,9
8,Mary is baking a cake. The recipe calls for w cups of sugar x cups of flour and y cups of salt. She already put in z cups of flour. How many more cups of flour does she need to add?,( x - z ),Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,4
9,A waiter had some customers. After w customers left he still had x customers. How many customers did he have at the start?,( w + x ),A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?,21
10,w birds were sitting on the fence. x more storks and y more birds came to join them. How many more storks than birds are sitting on the fence?,( x - ( w + y ) ),3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?,1
11,They decided to hold the party in their backyard. If they have w sets of tables and each set has x chairs How many chairs do they have in the backyard?,( w * x ),They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard?,143
12,In a school there are w more girls than boys. If there are x girls How many pupils are there in that school?,( ( x + x) - w ),In a school there are 458 more girls than boys. If there are 692 girls How many pupils are there in that school?,926
13,After resting they decided to go for a swim. The depth of the water is w times Dean's height. Dean is x feet taller than Ron. If Ron stands at y feet How deep was the water?,( ( x + y ) * w ),After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water?,255
14,w birds were sitting on the fence. x more birds and y more storks came to join them. How many birds are sitting on the fence?,( w + x ),6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence?,10
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco ' dad lost x pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh now?,( ( w - y ) - x ),Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?,16
16,In a school there are w girls and the rest are boys. If there are x more girls than boys How many boys are there in that school?,( w - x ),In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys How many boys are there in that school?,469
17,In a school there are w girls and x boys. y more girls and z more boys joined the school. How many girls are there in the school now?,( w + y ),In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?,1414
18,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many wrappers did danny have at first?,( z - x ),Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?,27
19,Paul got a box of w erasers and x crayons for his birthday. At the end of the school year he only had y crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,( y - w ),Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,66
20,Baker made w cakes. He sold x of them and bought y new cakes. How many cakes does baker still have?,( ( w - x ) + y ),Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?,186
21,An industrial machine worked for w minutes. It can make x shirts a minute. How many shirts did machine make?,( x * w ),An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make?,20
22,The bananas in Philip's collection are organized into groups of size w. If there are a total of w bananas in Philip's banana collection How many groups are there?,( x / w ),The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection How many groups are there?,10
23,There were some birds sitting on the fence. w more birds came to join them. If there are a total of x birds on the fence now How many birds had been sitting on the fence at the start?,( x - w ),There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now How many birds had been sitting on the fence at the start?,1
24,Jerry had w action figures on a shelf in his room. Later he added x more action figures to the shelf and removed some of the old ones. If there are y action figures on his shelf now How many action figures did he remove from the shelf?,( ( w + x ) - y ),Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now How many action figures did he remove from the shelf?,1
25,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( w - x ),Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,60
26,Because of the decision Sofia asked the students to suggest specific types of food from a total of w choices. If x students suggested adding mashed potatoes y suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?,( x + y ),Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?,488
27,Matthew gave equal numbers of crackers and cakes to his w friends. If he had x crackers and y cakes initially How many crackers and cakes did each person eat?,( ( x + y ) / w ),Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially How many crackers and cakes did each person eat?,1
28,"A grocery store had w bottles of regular soda, x bottles of diet soda and y bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",( x + w ),"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",89
29,"Dan has $ w. He bought x candy bar for $ y, each one costing the same amount of money. How much did each candy bar cost?",( y / x ),"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money. How much did each candy bar cost?",2
30,Tiffany was collecting cans for recycling. On monday she had w bags of cans. The next day she found x more bags worth of cans. How many more bags did she find on the next day than she had on monday?,( x - w ),Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans. How many more bags did she find on the next day than she had on monday?,5
31,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y roses and z orchids in the vase. How many roses did she cut?,( y - w ),There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase. How many roses did she cut?,2
32,There are some baskets of peaches. Each basket has w red peaches and x green peaches. If there are a total of y peaches in all baskets How many baskets of peaches are there?,( y / ( w + x ) ),There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets How many baskets of peaches are there?,1
33,There were w dollars in Olivia's wallet. She spent x dollars at a supermarket. How much money does she have left?,( w - x ),There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket. How much money does she have left?,63
